xPoint,  yValue
780,431.35
781,435.71
782,438.78
783,443.38
784,451.67
785,440.19
786,450.19
787,450.53
788,448.13
789,463.56
790,458.93
791,467.83
792,461.79
793,466.45
794,481.61
795,467.14
796,445.77
797,450.91
798,456.5
799,444.27
800,458.26
801,475.49
802,462.71
803,472.35
804,453.69
805,459.27
806,470.42
807,487.39
808,500.71
809,514.71
810,533.4
811,544.75
812,562.06
813,561.88
814,584.41
815,581.5
816,605.37
817,615.93
818,636.02
819,640.43
820,645.5
821,654.17
822,669.12
823,670.63
824,639.95
825,651.99
826,687.33
827,705.27
828,757.02
829,740.74
830,786.16
831,790.82
832,757.12
833,801.34
834,848.28
835,885.14
836,954.31
837,899.47
838,947.28
839,914.62
840,955.4
841,970.43
842,980.28
843,1049.34
844,1101.75
845,1111.75
846,1090.82
847,1133.84
848,1120.67
849,957.28
850,1017.01
851,1098.67
852,1163.63
853,1229.23
854,1279.64
855,1238.33
856,1286.37
857,1335.18
858,1301.84
859,1372.71
860,1328.72
861,1320.41
862,1282.71
863,1362.93
864,1388.91
865,1469.25
866,1394.46
867,1366.42
868,1498.58
869,1452.43
870,1420.6
871,1454.6
872,1430.83
873,1517.68
874,1436.51
875,1429.4
876,1314.95
877,1320.28
878,1366.01
879,1239.94
880,1160.33
881,1249.46
882,1255.82
883,1224.38
884,1211.23
885,1133.58
886,1040.94
887,1059.78
888,1139.45
889,1148.08
890,1130.2
891,1106.73
892,1147.39
893,1076.92
894,1067.14
895,989.82
896,911.62
897,916.07
898,815.28
899,885.76
900,936.31
901,879.82
902,855.7
903,841.15
904,848.18
905,916.92
906,963.59
907,974.5
908,990.31
909,1008.01
910,995.97
911,1050.71
912,1058.2
913,1111.92
914,1131.13
915,1144.94
916,1126.21
917,1107.3
918,1120.68
919,1140.84
920,1101.72
921,1104.24
922,1114.58
923,1130.2
924,1173.82
925,1211.92
926,1181.27
927,1203.6
928,1180.59
929,1156.85
930,1191.5
931,1191.33
932,1234.18
933,1220.33
934,1228.81
935,1207.01
936,1249.48
937,1248.29
938,1280.08
939,1280.66
940,1294.87
941,1310.61
942,1270.09
943,1270.2
944,1276.66
945,1303.82
946,1335.85
947,1377.94
948,1400.63
949,1418.3
950,1438.24
951,1406.82
952,1420.86
953,1482.37
954,1530.62
955,1503.35
956,1455.27
957,1473.99
958,1526.75
959,1549.38
960,1481.14
961,1468.36
962,1378.55
963,1330.63
964,1322.7
965,1385.59
966,1400.38
967,1280
968,1267.38
969,1282.83
970,1166.36
971,968.75
972,896.24
973,903.25
974,825.88
975,735.09
976,797.87
977,872.81
978,919.14
979,919.32
980,987.48
981,1020.62
982,1057.08
983,1036.19
984,1095.63
985,968.75
986,896.24
987,903.25
988,825.88
989,735.09
990,797.87
991,672.81
992,619.14
993,619.32
994,590.47
995,547.28
996,514.62
997,455.4
998,470.43
999,480.28
1000,496.77
