xPoint,  yValue
1,107.387
2,110.449
3,116.943
4,118.669
5,108.941
6,103.071
7,110.16
8,104.933
9,114.12
10,118.326
11,118.055
12,125.764
13,128.612
14,132.722
15,132.583
16,136.361
17,134.52
18,132.064
19,129.228
20,121.889
21,113.142
22,125.33
23,124.696
24,125.76
25,131.241
26,136.568
27,140.847
28,139.791
29,131.033
30,136.216
31,137.932
32,140.658
33,144.067
34,141.216
35,141.618
36,142.619
37,149.811
38,151.468
39,156.919
40,159.757
41,163.074
42,160.628
43,168.573
44,163.297
45,168.155
46,175.654
47,180.581
48,184.836
49,178.259
50,185.945
51,187.234
52,188.395
53,192.357
54,196.023
55,193.067
56,200.337
57,197.229
58,201.805
59,206.756
60,205.89
61,199.499
62,210.45
63,206.789
64,208.551
65,210.739
66,206.311
67,210.384
68,197.218
69,192.003
70,207.936
71,208.041
72,204.394
73,194.024
74,193.223
75,205.974
76,206.53
77,209.696
78,209.886
79,217.36
80,217.095
81,216.827
82,212.615
83,219.881
84,223.883
85,227.887
86,236.364
87,236.272
88,238.42
89,241.18
90,242.341
91,247.03
92,247.165
93,251.936
94,257.526
95,264.758
96,267.361
97,282.381
98,271.383
99,264.087
100,264.807
101,270.527
102,150.66
103,166.68
104,166.1
105,166.09
106,163.58
107,167.24
108,179.63
109,181.18
110,180.66
111,179.83
112,189.55
113,191.85
114,190.92
115,188.63
116,182.08
117,189.82
118,202.17
119,211.28
120,211.78
121,226.92
122,238.9
123,235.52
124,247.35
125,250.84
126,236.12
127,252.93
128,231.32
129,243.98
130,249.22
131,242.17
132,274.08
133,284.2
134,291.7
135,288.36
136,290.1
137,304
138,318.66
139,329.8
140,321.83
141,251.79
142,230.3
143,247.08
144,257.07
145,267.82
146,258.89
147,261.33
148,262.16
149,273.5
150,272.02
151,261.52
152,271.91
153,278.97
154,273.7
155,277.72
156,297.47
157,288.86
158,294.87
159,309.64
160,320.52
161,317.98
162,346.08
163,351.45
164,349.15
165,340.36
166,345.99
167,353.4
168,329.08
169,331.89
170,339.94
171,330.8
172,361.23
173,358.02
174,356.15
175,322.56
176,306.05
177,304
178,322.22
179,330.22
180,343.93
181,367.07
182,375.22
183,375.34
184,389.83
185,371.16
186,387.81
187,395.43
188,387.86
189,392.45
190,375.22
191,417.09
192,408.78
193,412.7
194,403.69
195,414.95
196,415.35
197,408.14
198,424.21
199,414.03
200,417.8
201,418.68
202,431.35
203,107.2
204,107.67
205,109.53
206,107.14
207,107.39
208,111.09
209,110.55
210,111.58
211,116.67
212,118.05
213,116.03
214,111.68
215,111.52
216,106.97
217,104.95
218,104.26
219,108.22
220,104.25
221,108.43
222,108.29
223,95.96
224,97.55
225,96.57
226,96.22
227,93.98
228,90.31
229,87.28
230,86
231,79.31
232,72.15
233,63.54
234,73.9
235,69.97
236,68.56
237,76.98
238,81.59
239,83.36
240,87.3
241,91.15
242,95.19
243,88.75
244,86.88
245,83.87
246,89.04
247,91.24
248,90.19
249,100.86
250,99.71
251,102.77
252,101.64
253,100.18
254,104.28
255,103.44
256,102.91
257,105.24
258,102.9
259,102.1
260,107.46
261,102.03
262,99.82
263,98.42
264,98.44
265,96.12
266,100.48
267,98.85
268,96.77
269,96.53
270,92.34
271,94.83
272,95.1
273,89.25
274,87.04
275,89.21
276,96.83
277,97.24
278,95.53
279,100.68
280,103.29
281,102.54
282,93.15
283,94.7
284,96.11
285,99.93
286,96.28
287,101.59
288,101.76
289,99.08
290,102.91
291,103.81
292,109.32
293,109.32
294,101.82
295,106.16
296,107.94
297,114.16
298,113.66
299,102.09
300,106.29
301,111.24
302,114.24
303,121.67
304,122.38
305,125.46
306,127.47
307,140.52
308,135.76
309,129.55
310,131.27
311,136
312,132.81
313,132.59
314,131.21
315,130.92
316,122.79
317,116.18
318,121.89
319,126.35
320,122.55
321,120.4
322,113.11
323,111.96
324,116.44
325,111.88
326,109.61
327,107.09
328,119.51
329,120.42
330,133.72
331,138.53
332,140.64
333,145.3
334,148.06
335,152.96
336,164.43
337,162.39
338,167.64
339,162.56
340,164.4
341,166.07
342,163.55
343,166.4
344,164.93
345,163.41
346,157.06
347,159.18
348,160.05
349,150.55
350,153.18
351,150.66
352,166.68
353,166.1
354,166.09
355,163.58
356,167.24
357,179.63
358,181.18
359,180.66
360,179.83
361,189.55
362,191.85
363,190.92
364,188.63
365,182.08
366,189.82
367,202.17
368,211.28
369,211.78
370,226.92
371,238.9
372,235.52
373,247.35
374,250.84
375,236.12
376,252.93
377,231.32
378,243.98
379,249.22
380,242.17
381,274.08
382,284.2
383,291.7
384,288.36
385,290.1
386,304
387,318.66
388,329.8
389,321.83
390,251.79
391,230.3
392,247.08
393,257.07
394,267.82
395,258.89
396,261.33
397,262.16
398,273.5
399,272.02
400,261.52
401,271.91
402,278.97
403,273.7
404,277.72
405,297.47
406,288.86
407,294.87
408,309.64
409,320.52
410,317.98
411,346.08
412,351.45
413,349.15
414,340.36
415,345.99
416,353.4
417,329.08
418,331.89
419,339.94
420,330.8
421,361.23
422,358.02
423,356.15
424,322.56
425,306.05
426,304
427,322.22
428,330.22
429,343.93
430,367.07
431,375.22
432,375.34
433,389.83
434,371.16
435,387.81
436,395.43
437,387.86
438,392.45
439,375.22
440,417.09
441,408.78
442,412.7
443,403.69
444,414.95
445,415.35
446,408.14
447,424.21
448,414.03
449,417.8
450,418.68
451,431.35
452,435.71
453,438.78
454,443.38
455,451.67
456,440.19
457,450.19
458,450.53
459,448.13
460,463.56
461,458.93
462,467.83
463,461.79
464,466.45
465,481.61
466,467.14
467,445.77
468,450.91
469,456.5
470,444.27
471,458.26
472,475.49
473,462.71
474,472.35
475,453.69
476,459.27
477,470.42
478,487.39
479,500.71
480,514.71
481,533.4
482,544.75
483,562.06
484,561.88
485,584.41
486,581.5
487,605.37
488,615.93
489,636.02
490,640.43
491,645.5
492,654.17
493,669.12
494,670.63
495,639.95
496,651.99
497,687.33
498,705.27
499,757.02
500,740.74
501,786.16
502,790.82
503,757.12
504,801.34
505,848.28
506,885.14
507,954.31
508,899.47
509,947.28
510,914.62
511,955.4
512,970.43
513,980.28
514,1049.34
515,1101.75
516,1111.75
517,1090.82
518,1133.84
519,1120.67
520,957.28
521,1017.01
522,1098.67
523,1163.63
524,1229.23
525,1279.64
526,1238.33
527,1286.37
528,1335.18
529,1301.84
530,1372.71
531,1328.72
532,1320.41
533,1282.71
534,1362.93
535,1388.91
536,1469.25
537,1394.46
538,1366.42
539,1498.58
540,1452.43
541,1420.6
542,1454.6
543,1430.83
544,1517.68
545,1436.51
546,1429.4
547,1314.95
548,1320.28
549,1366.01
550,1239.94
551,1160.33
552,1249.46
553,1255.82
554,1224.38
555,1211.23
556,1133.58
557,1040.94
558,1059.78
559,1139.45
560,1148.08
561,1130.2
562,1106.73
563,1147.39
564,1076.92
565,1067.14
566,989.82
567,911.62
568,916.07
569,815.28
570,885.76
571,936.31
572,879.82
573,855.7
574,841.15
575,848.18
576,916.92
577,963.59
578,974.5
579,990.31
580,1008.01
581,995.97
582,1050.71
583,1058.2
584,1111.92
585,1131.13
586,1144.94
587,1126.21
588,1107.3
589,1120.68
590,1140.84
591,1101.72
592,1104.24
593,1114.58
594,696.12
595,600.48
596,498.85
597,396.77
598,296.53
599,192.34
600,94.83
601,95.1
602,89.25
603,87.04
604,89.21
605,96.83
606,97.24
607,95.53
608,100.68
609,103.29
610,102.54
611,93.15
612,94.7
613,96.11
614,99.93
615,96.28
616,101.59
617,101.76
618,99.08
619,102.91
620,103.81
621,109.32
622,108.32
623,101.82
624,106.16
625,107.94
626,114.16
627,113.66
628,102.09
629,106.29
630,111.24
631,114.24
632,121.67
633,122.38
634,125.46
635,127.47
636,140.52
637,135.76
638,129.55
639,131.27
640,136
641,132.81
642,132.59
643,131.21
644,130.92
645,122.79
646,116.18
647,121.89
648,126.35
649,122.55
650,120.4
651,113.11
652,111.96
653,116.44
654,111.88
655,109.61
656,107.09
657,119.51
658,120.42
659,133.72
660,138.53
661,140.64
662,145.3
663,148.06
664,152.96
665,164.43
666,162.39
667,167.64
668,162.56
669,164.4
670,166.07
671,163.55
672,166.4
673,164.93
674,163.41
675,157.06
676,159.18
677,160.05
678,150.55
679,153.18
680,150.66
681,166.68
682,166.1
683,166.09
684,163.58
685,167.24
686,179.63
687,181.18
688,180.66
689,179.83
690,189.55
691,191.85
692,190.92
693,188.63
694,182.08
695,189.82
696,202.17
697,211.28
698,211.78
699,226.92
700,238.9
701,235.52
702,247.35
703,250.84
704,236.12
705,252.93
706,231.32
707,243.98
708,249.22
709,242.17
710,274.08
711,284.2
712,291.7
713,288.36
714,290.1
715,304
716,318.66
717,329.8
718,321.83
719,251.79
720,230.3
721,247.08
722,257.07
723,267.82
724,258.89
725,261.33
726,262.16
727,273.5
728,272.02
729,261.52
730,271.91
731,278.97
732,273.7
733,277.72
734,297.47
735,288.86
736,294.87
737,309.64
738,320.52
739,317.98
740,346.08
741,351.45
742,349.15
743,340.36
744,345.99
745,353.4
746,329.08
747,331.89
748,339.94
749,330.8
750,361.23
751,358.02
752,356.15
753,322.56
754,306.05
755,304
756,322.22
757,330.22
758,343.93
759,367.07
760,375.22
761,375.34
762,389.83
763,371.16
764,387.81
765,395.43
766,387.86
767,392.45
768,375.22
769,417.09
770,408.78
771,412.7
772,403.69
773,414.95
774,415.35
775,408.14
776,424.21
777,414.03
778,417.8
779,418.68
