priceDiffPerc,targetPriceDiffPerc,,,Date,inputPrice
0,-0.509626274,,,192712,17.66
-0.509626274,-1.764371087,,,192801,17.57
-1.764371087,11.70336037,,,192802,17.26
11.70336037,2.437759336,,,192803,19.28
2.437759336,1.265822785,,,192804,19.75
1.265822785,-4.3,,,192805,20
-4.3,1.515151515,,,192806,19.14
1.515151515,7.411219763,,,192807,19.43
7.411219763,1.293723047,,,192808,20.87
1.293723047,2.554399243,,,192809,21.14
2.554399243,11.99261993,,,192810,21.68
11.99261993,0.28830313,,,192811,24.28
0.28830313,5.708418891,,,192812,24.35
5.708418891,-0.582750583,,,192901,25.74
-0.582750583,-0.234466589,,,192902,25.59
-0.234466589,1.60595378,,,192903,25.53
1.60595378,-4.279105628,,,192904,25.94
-4.279105628,10.39065646,,,192905,24.83
10.39065646,5.363006202,,,192906,27.41
5.363006202,9.799168975,,,192907,28.88
9.799168975,-4.888047934,,,192908,31.71
-4.888047934,-19.9270557,,,192909,30.16
-19.9270557,-13.3747412,,,192910,24.15
-13.3747412,2.533460803,,,192911,20.92
2.533460803,6.247086247,,,192912,21.45
6.247086247,2.150065818,,,193001,22.79
2.150065818,3.737113402,,,193002,23.28
3.737113402,3.105590062,,,193003,24.15
3.105590062,-1.646586345,,,193004,24.9
-1.646586345,-16.4556962,,,193005,24.49
-16.4556962,3.66568915,,,193006,20.46
3.66568915,0.75436115,,,193007,21.21
0.75436115,-13.00889097,,,193008,21.37
-13.00889097,-8.875739645,,,193009,18.59
-8.875739645,-2.184179457,,,193010,16.94
-2.184179457,-7.423053712,,,193011,16.57
-7.423053712,4.889178618,,,193012,15.34
4.889178618,11.43567433,,,193101,16.09
11.43567433,-6.915783603,,,193102,17.93
-6.915783603,-9.58657879,,,193103,16.69
-9.58657879,-13.71769384,,,193104,15.09
-13.71769384,13.90168971,,,193105,13.02
13.90168971,-7.417397168,,,193106,14.83
-7.417397168,0.946831755,,,193107,13.73
0.946831755,-29.94227994,,,193108,13.86
-29.94227994,8.444902163,,,193109,9.71
8.444902163,-9.781576448,,,193110,10.53
-9.781576448,-14.52631579,,,193111,9.5
-14.52631579,-2.832512315,,,193112,8.12
-2.832512315,5.069708492,,,193201,7.89
5.069708492,-11.82147165,,,193202,8.29
-11.82147165,-20.24623803,,,193203,7.31
-20.24623803,-23.32761578,,,193204,5.83
-23.32761578,-0.894854586,,,193205,4.47
-0.894854586,37.69751693,,,193206,4.43
37.69751693,37.54098361,,,193207,6.1
37.54098361,-3.694874851,,,193208,8.39
-3.694874851,-13.86138614,,,193209,8.08
-13.86138614,-5.890804598,,,193210,6.96
-5.890804598,5.190839695,,,193211,6.55
5.190839695,0.725689405,,,193212,6.89
0.725689405,-18.44380403,,,193301,6.94
-18.44380403,3.356890459,,,193302,5.66
3.356890459,42.22222222,,,193303,5.85
42.22222222,15.86538462,,,193304,8.32
15.86538462,13.17427386,,,193305,9.64
13.17427386,-8.799266728,,,193306,10.91
-8.799266728,11.45728643,,,193307,9.95
11.45728643,-11.36158702,,,193308,11.09
-11.36158702,-8.850457782,,,193309,9.83
-8.850457782,10.26785714,,,193310,8.96
10.26785714,2.226720648,,,193311,9.88
2.226720648,10.59405941,,,193312,10.1
10.59405941,-3.670546106,,,193401,11.17
-3.670546106,-0.092936803,,,193402,10.76
-0.092936803,-2.697674419,,,193403,10.75
-2.697674419,-8.126195029,,,193404,10.46
-8.126195029,2.081165453,,,193405,9.61
2.081165453,-11.51885831,,,193406,9.81
-11.51885831,5.414746544,,,193407,8.68
5.414746544,-0.546448087,,,193408,9.15
-0.546448087,-3.186813187,,,193409,9.1
-3.186813187,8.286038593,,,193410,8.81
8.286038593,-0.419287212,,,193411,9.54
-0.419287212,-4.210526316,,,193412,9.5
-4.210526316,-3.956043956,,,193501,9.1
-3.956043956,-3.089244851,,,193502,8.74
-3.089244851,9.563164109,,,193503,8.47
9.563164109,3.232758621,,,193504,9.28
3.232758621,6.784968685,,,193505,9.58
6.784968685,8.308895406,,,193506,10.23
8.308895406,2.166064982,,,193507,11.08
2.166064982,2.385159011,,,193508,11.32
2.385159011,7.506471096,,,193509,11.59
7.506471096,3.93258427,,,193510,12.46
3.93258427,3.706563707,,,193511,12.95
3.706563707,6.552494415,,,193512,13.43
6.552494415,1.677148847,,,193601,14.31
1.677148847,2.542955326,,,193602,14.55
2.542955326,-7.707774799,,,193603,14.92
-7.707774799,4.575163399,,,193604,13.77
4.575163399,3.055555556,,,193605,14.4
3.055555556,6.805929919,,,193606,14.84
6.805929919,0.883280757,,,193607,15.85
0.883280757,0.125078174,,,193608,15.99
0.125078174,7.495315428,,,193609,16.01
7.495315428,0.406740267,,,193610,17.21
0.406740267,-0.578703704,,,193611,17.28
-0.578703704,3.78346915,,,193612,17.18
3.78346915,1.458216489,,,193701,17.83
1.458216489,-0.939745716,,,193702,18.09
-0.939745716,-8.314732143,,,193703,17.92
-8.314732143,-1.034692635,,,193704,16.43
-1.034692635,-5.289052891,,,193705,16.26
-5.289052891,10.25974026,,,193706,15.4
10.25974026,-5.535924617,,,193707,16.98
-5.535924617,-14.21446384,,,193708,16.04
-14.21446384,-10.1744186,,,193709,13.76
-10.1744186,-10.11326861,,,193710,12.36
-10.11326861,-5.04050405,,,193711,11.11
-5.04050405,1.327014218,,,193712,10.55
1.327014218,6.080449018,,,193801,10.69
6.080449018,-25.04409171,,,193802,11.34
-25.04409171,14.11764706,,,193803,8.5
14.11764706,-4.432989691,,,193804,9.7
-4.432989691,24.70334412,,,193805,9.27
24.70334412,7.266435986,,,193806,11.56
7.266435986,-2.741935484,,,193807,12.4
-2.741935484,1.492537313,,,193808,12.06
1.492537313,7.598039216,,,193809,12.24
7.598039216,-3.340926348,,,193810,13.17
-3.340926348,3.770620581,,,193811,12.73
3.770620581,-6.888720666,,,193812,13.21
-6.888720666,3.25203252,,,193901,12.3
3.25203252,-13.54330709,,,193902,12.7
-13.54330709,-0.546448087,,,193903,10.98
-0.546448087,6.227106227,,,193904,10.92
6.227106227,-6.379310345,,,193905,11.6
-6.379310345,10.86556169,,,193906,10.86
10.86556169,-7.142857143,,,193907,12.04
-7.142857143,16.45796064,,,193908,11.18
16.45796064,-1.459293395,,,193909,13.02
-1.459293395,-4.910366329,,,193910,12.83
-4.910366329,2.37704918,,,193911,12.2
2.37704918,-3.522818255,,,193912,12.49
-3.522818255,0.663900415,,,194001,12.05
0.663900415,0.98928277,,,194002,12.13
0.98928277,-0.489795918,,,194003,12.25
-0.489795918,-23.95406071,,,194004,12.19
-23.95406071,7.659115426,,,194005,9.27
7.659115426,3.106212425,,,194006,9.98
3.106212425,2.623906706,,,194007,10.29
2.623906706,0.946969697,,,194008,10.56
0.946969697,3.939962477,,,194009,10.66
3.939962477,-4.241877256,,,194010,11.08
-4.241877256,-0.282752121,,,194011,10.61
-0.282752121,-4.820415879,,,194012,10.58
-4.820415879,-1.489572989,,,194101,10.07
-1.489572989,0.403225806,,,194102,9.92
0.403225806,-6.526104418,,,194103,9.96
-6.526104418,0.429645542,,,194104,9.31
0.429645542,5.347593583,,,194105,9.35
5.347593583,5.482233503,,,194106,9.85
5.482233503,-0.866217517,,,194107,10.39
-0.866217517,-0.970873786,,,194108,10.3
-0.970873786,-6.862745098,,,194109,10.2
-6.862745098,-4.210526316,,,194110,9.5
-4.210526316,-4.505494505,,,194111,9.1
-4.505494505,1.380897583,,,194112,8.69
1.380897583,-2.497162316,,,194201,8.81
-2.497162316,-6.752037253,,,194202,8.59
-6.752037253,-4.369538077,,,194203,8.01
-4.369538077,6.396866841,,,194204,7.66
6.396866841,1.840490798,,,194205,8.15
1.840490798,3.13253012,,,194206,8.3
3.13253012,0.700934579,,,194207,8.56
0.700934579,2.668213457,,,194208,8.62
2.668213457,6.440677966,,,194209,8.85
6.440677966,-1.380042463,,,194210,9.42
-1.380042463,5.166846071,,,194211,9.29
5.166846071,7.164790174,,,194212,9.77
7.164790174,5.062082139,,,194301,10.47
5.062082139,5.272727273,,,194302,11
5.272727273,0.086355786,,,194303,11.58
0.086355786,4.486626402,,,194304,11.59
4.486626402,1.981833196,,,194305,12.11
1.981833196,-5.425101215,,,194306,12.35
-5.425101215,1.02739726,,,194307,11.68
1.02739726,2.372881356,,,194308,11.8
2.372881356,-1.324503311,,,194309,12.08
-1.324503311,-7.55033557,,,194310,11.92
-7.55033557,5.898366606,,,194311,11.02
5.898366606,1.542416452,,,194312,11.67
1.542416452,-0.253164557,,,194401,11.85
-0.253164557,1.692047377,,,194402,11.82
1.692047377,-1.247920133,,,194403,12.02
-1.247920133,4.043807919,,,194404,11.87
4.043807919,5.101214575,,,194405,12.35
5.101214575,-2.080123267,,,194406,12.98
-2.080123267,0.865460268,,,194407,12.71
0.865460268,-0.31201248,,,194408,12.82
-0.31201248,0,,,194409,12.78
0,0.391236307,,,194410,12.78
0.391236307,3.507404521,,,194411,12.83
3.507404521,1.430722892,,,194412,13.28
1.430722892,6.161841128,,,194501,13.47
6.161841128,-4.615384615,,,194502,14.3
-4.615384615,8.797653959,,,194503,13.64
8.797653959,1.145552561,,,194504,14.84
1.145552561,-0.333111259,,,194505,15.01
-0.333111259,-2.005347594,,,194506,14.96
-2.005347594,5.798090041,,,194507,14.66
5.798090041,4.190844616,,,194508,15.51
4.190844616,3.032178218,,,194509,16.16
3.032178218,3.243243243,,,194510,16.65
3.243243243,0.988947062,,,194511,17.19
0.988947062,6.970046083,,,194512,17.36
6.970046083,-6.946688207,,,194601,18.57
-6.946688207,4.62962963,,,194602,17.28
4.62962963,3.761061947,,,194603,18.08
3.761061947,2.23880597,,,194604,18.76
2.23880597,-3.910323253,,,194605,19.18
-3.910323253,-2.550189908,,,194606,18.43
-2.550189908,-7.293986637,,,194607,17.96
-7.293986637,-10.15015015,,,194608,16.65
-10.15015015,-0.802139037,,,194609,14.96
-0.802139037,-1.145552561,,,194610,14.84
-1.145552561,4.294478528,,,194611,14.67
4.294478528,2.352941176,,,194612,15.3
2.352941176,-1.468710089,,,194701,15.66
-1.468710089,-1.685029164,,,194702,15.43
-1.685029164,-3.889255109,,,194703,15.17
-3.889255109,-0.891632373,,,194704,14.58
-0.891632373,5.259515571,,,194705,14.45
5.259515571,3.616042078,,,194706,15.21
3.616042078,-2.791878173,,,194707,15.76
-2.791878173,-1.37075718,,,194708,15.32
-1.37075718,2.11780278,,,194709,15.11
2.11780278,-2.851587816,,,194710,15.43
-2.851587816,2.068045364,,,194711,14.99
2.068045364,-3.986928105,,,194712,15.3
-3.986928105,-4.697072839,,,194801,14.69
-4.697072839,7.714285714,,,194802,14
7.714285714,2.652519894,,,194803,15.08
2.652519894,7.816537468,,,194804,15.48
7.816537468,0.299580587,,,194805,16.69
0.299580587,-5.31660693,,,194806,16.74
-5.31660693,0.757097792,,,194807,15.85
0.757097792,-3.005635567,,,194808,15.97
-3.005635567,6.778566817,,,194809,15.49
