          xPoint,            yValue
-1,-0.938458442
-0.997997998,-0.934481818
-0.995995996,-0.926048052
-0.993993994,-0.923806494
-0.991991992,-0.93644026
-0.98998999,-0.944063636
-0.987987988,-0.934857143
-0.985985986,-0.941645455
-0.983983984,-0.929714286
-0.981981982,-0.924251948
-0.97997998,-0.924603896
-0.977977978,-0.914592208
-0.975975976,-0.910893506
-0.973973974,-0.905555844
-0.971971972,-0.905736364
-0.96996997,-0.90082987
-0.967967968,-0.903220779
-0.965965966,-0.90641039
-0.963963964,-0.910093506
-0.961961962,-0.919624675
-0.95995996,-0.930984416
-0.957957958,-0.915155844
-0.955955956,-0.915979221
-0.953953954,-0.914597403
-0.951951952,-0.907479221
-0.94994995,-0.900561039
-0.947947948,-0.895003896
-0.945945946,-0.896375325
-0.943943944,-0.907749351
-0.941941942,-0.901018182
-0.93993994,-0.89878961
-0.937937938,-0.895249351
-0.935935936,-0.890822078
-0.933933934,-0.894524675
-0.931931932,-0.894002597
-0.92992993,-0.892702597
-0.927927928,-0.883362338
-0.925925926,-0.88121039
-0.923923924,-0.874131169
-0.921921922,-0.870445455
-0.91991992,-0.866137662
-0.917917918,-0.869314286
-0.915915916,-0.858996104
-0.913913914,-0.865848052
-0.911911912,-0.859538961
-0.90990991,-0.8498
-0.907907908,-0.843401299
-0.905905906,-0.837875325
-0.903903904,-0.846416883
-0.901901902,-0.836435065
-0.8998999,-0.834761039
-0.897897898,-0.833253247
-0.895895896,-0.828107792
-0.893893894,-0.823346753
-0.891891892,-0.827185714
-0.88988989,-0.817744156
-0.887887888,-0.821780519
-0.885885886,-0.815837662
-0.883883884,-0.809407792
-0.881881882,-0.810532468
-0.87987988,-0.818832468
-0.877877878,-0.80461039
-0.875875876,-0.809364935
-0.873873874,-0.807076623
-0.871871872,-0.804235065
-0.86986987,-0.809985714
-0.867867868,-0.804696104
-0.865865866,-0.821794805
-0.863863864,-0.828567532
-0.861861862,-0.807875325
-0.85985986,-0.807738961
-0.857857858,-0.812475325
-0.855855856,-0.825942857
-0.853853854,-0.826983117
-0.851851852,-0.810423377
-0.84984985,-0.809701299
-0.847847848,-0.80558961
-0.845845846,-0.805342857
-0.843843844,-0.795636364
-0.841841842,-0.795980519
-0.83983984,-0.796328571
-0.837837838,-0.801798701
-0.835835836,-0.792362338
-0.833833834,-0.787164935
-0.831831832,-0.781964935
-0.82982983,-0.770955844
-0.827827828,-0.771075325
-0.825825826,-0.768285714
-0.823823824,-0.764701299
-0.821821822,-0.763193506
-0.81981982,-0.757103896
-0.817817818,-0.756928571
-0.815815816,-0.750732468
-0.813813814,-0.743472727
-0.811811812,-0.734080519
-0.80980981,-0.7307
-0.807807808,-0.711193506
-0.805805806,-0.725476623
-0.803803804,-0.734951948
-0.801801802,-0.734016883
-0.7997998,-0.726588312
-0.797797798,-0.88225974
-0.795795796,-0.861454545
-0.793793794,-0.862207792
-0.791791792,-0.862220779
-0.78978979,-0.865480519
-0.787787788,-0.860727273
-0.785785786,-0.844636364
-0.783783784,-0.842623377
-0.781781782,-0.843298701
-0.77977978,-0.844376623
-0.777777778,-0.831753247
-0.775775776,-0.828766234
-0.773773774,-0.829974026
-0.771771772,-0.832948052
-0.76976977,-0.841454545
-0.767767768,-0.831402597
-0.765765766,-0.815363636
-0.763763764,-0.803532468
-0.761761762,-0.802883117
-0.75975976,-0.783220779
-0.757757758,-0.767662338
-0.755755756,-0.772051948
-0.753753754,-0.756688312
-0.751751752,-0.752155844
-0.74974975,-0.771272727
-0.747747748,-0.749441558
-0.745745746,-0.777506494
-0.743743744,-0.761064935
-0.741741742,-0.75425974
-0.73973974,-0.763415584
-0.737737738,-0.721974026
-0.735735736,-0.708831169
-0.733733734,-0.699090909
-0.731731732,-0.703428571
-0.72972973,-0.701168831
-0.727727728,-0.683116883
-0.725725726,-0.664077922
-0.723723724,-0.64961039
-0.721721722,-0.659961039
-0.71971972,-0.750922078
-0.717717718,-0.778831169
-0.715715716,-0.757038961
-0.713713714,-0.744064935
-0.711711712,-0.730103896
-0.70970971,-0.741701299
-0.707707708,-0.738532468
-0.705705706,-0.737454545
-0.703703704,-0.722727273
-0.701701702,-0.724649351
-0.6996997,-0.738285714
-0.697697698,-0.724792208
-0.695695696,-0.715623377
-0.693693694,-0.722467532
-0.691691692,-0.717246753
-0.68968969,-0.691597403
-0.687687688,-0.702779221
-0.685685686,-0.694974026
-0.683683684,-0.675792208
-0.681681682,-0.661662338
-0.67967968,-0.664961039
-0.677677678,-0.628467532
-0.675675676,-0.621493506
-0.673673674,-0.624480519
-0.671671672,-0.635896104
-0.66966967,-0.628584416
-0.667667668,-0.618961039
-0.665665666,-0.650545455
-0.663663664,-0.646896104
-0.661661662,-0.636441558
-0.65965966,-0.648311688
-0.657657658,-0.608792208
-0.655655656,-0.612961039
-0.653653654,-0.61538961
-0.651651652,-0.659012987
-0.64964965,-0.680454545
-0.647647648,-0.683116883
-0.645645646,-0.659454545
-0.643643644,-0.649064935
-0.641641642,-0.63125974
-0.63963964,-0.601207792
-0.637637638,-0.590623377
-0.635635636,-0.590467532
-0.633633634,-0.571649351
-0.631631632,-0.595896104
-0.62962963,-0.574272727
-0.627627628,-0.564376623
-0.625625626,-0.574207792
-0.623623624,-0.568246753
-0.621621622,-0.590623377
-0.61961962,-0.536246753
-0.617617618,-0.547038961
-0.615615616,-0.541948052
-0.613613614,-0.553649351
-0.611611612,-0.539025974
-0.60960961,-0.538506494
-0.607607608,-0.54787013
-0.605605606,-0.527
-0.603603604,-0.540220779
-0.601601602,-0.535324675
-0.5995996,-0.534181818
-0.597597598,-0.517727273
-0.595595596,-0.938701299
-0.593593594,-0.938090909
-0.591591592,-0.935675325
-0.58958959,-0.938779221
-0.587587588,-0.938454545
-0.585585586,-0.933649351
-0.583583584,-0.934350649
-0.581581582,-0.933012987
-0.57957958,-0.926402597
-0.577577578,-0.92461039
-0.575575576,-0.927233766
-0.573573574,-0.932883117
-0.571571572,-0.933090909
-0.56956957,-0.939
-0.567567568,-0.941623377
-0.565565566,-0.942519481
-0.563563564,-0.937376623
-0.561561562,-0.942532468
-0.55955956,-0.937103896
-0.557557558,-0.937285714
-0.555555556,-0.953298701
-0.553553554,-0.951233766
-0.551551552,-0.952506494
-0.54954955,-0.952961039
-0.547547548,-0.95587013
-0.545545546,-0.960636364
-0.543543544,-0.964571429
-0.541541542,-0.966233766
-0.53953954,-0.974922078
-0.537537538,-0.984220779
-0.535535536,-0.995402597
-0.533533534,-0.981948052
-0.531531532,-0.987051948
-0.52952953,-0.988883117
-0.527527528,-0.977948052
-0.525525526,-0.971961039
-0.523523524,-0.969662338
-0.521521522,-0.964545455
-0.51951952,-0.959545455
-0.517517518,-0.954298701
-0.515515516,-0.962662338
-0.513513514,-0.965090909
-0.511511512,-0.969
-0.50950951,-0.962285714
-0.507507508,-0.959428571
-0.505505506,-0.960792208
-0.503503504,-0.946935065
-0.501501502,-0.948428571
-0.499499499,-0.944454545
-0.497497497,-0.945922078
-0.495495495,-0.947818182
-0.493493493,-0.942493506
-0.491491491,-0.943584416
-0.489489489,-0.944272727
-0.487487487,-0.941246753
-0.485485485,-0.944285714
-0.483483483,-0.945324675
-0.481481481,-0.938363636
-0.479479479,-0.945415584
-0.477477477,-0.948285714
-0.475475475,-0.950103896
-0.473473473,-0.950077922
-0.471471471,-0.953090909
-0.469469469,-0.947428571
-0.467467467,-0.949545455
-0.465465465,-0.952246753
-0.463463463,-0.952558442
-0.461461461,-0.958
-0.459459459,-0.954766234
-0.457457457,-0.954415584
-0.455455455,-0.962012987
-0.453453453,-0.964883117
-0.451451451,-0.962064935
-0.449449449,-0.952168831
-0.447447447,-0.951636364
-0.445445445,-0.953857143
-0.443443443,-0.947168831
-0.441441441,-0.943779221
-0.439439439,-0.944753247
-0.437437437,-0.956948052
-0.435435435,-0.954935065
-0.433433433,-0.953103896
-0.431431431,-0.948142857
-0.429429429,-0.952883117
-0.427427427,-0.945987013
